"commune","code_INSEE","surface_parcourue_m2","annee","mois","jour","heure","nature_inc_prim","nature_inc_sec"
"Digne-les-Bains","4070",50000,2012,"Jun",22,14,"Involontaire","particulier"
"Oletta","2B185",59000,2012,"Jul",25,16,"Malveillance",NA
"Bousquet-d'Orb (Le)","34038",130000,2012,"Feb",8,16,"Involontaire","particulier"
"Grandrieu","48070",350000,2012,"Apr",28,18,"Accidentelle",NA
"Oletta","2B185",60000,2012,"Jul",30,12,"Malveillance",NA
"Oletta","2B185",60000,2012,"Jul",30,15,"Malveillance",NA
"Calenzana","2B049",60000,2012,"Aug",4,15,"Malveillance",NA
"Orgon","13067",74000,2012,"Jul",16,18,"Malveillance",NA
"Aix-en-Provence","13001",180000,2012,"Jul",23,15,"Malveillance",NA
"Narbonne","11262",582300,2012,"Aug",9,16,"Accidentelle",NA
"Octon","34186",52000,2012,"Feb",21,20,"Involontaire","travaux"
"Peyriac-de-Mer","11285",71100,2012,"Aug",13,16,"Malveillance",NA
"Béziers","34032",54000,2012,"Jun",25,15,"Accidentelle",NA
"Oletta","2B185",90000,2012,"Aug",20,12,"Malveillance",NA
"Borne","7038",500000,2012,"Aug",21,17,"Naturelle",NA
"Malarce-sur-la-Thines","7147",80000,2012,"Aug",21,7,"Accidentelle",NA
"Saint-Étienne-Vallée-Française","48148",50000,2012,"Feb",15,15,"Involontaire","particulier"
"Perthus (Le)","66137",120000,2012,"Jul",22,13,"Malveillance",NA
"Montbazin","34165",414500,2012,"Aug",18,16,"Malveillance",NA
"Pia","66141",140000,2012,"Jul",28,16,"Accidentelle",NA
"Espira-de-l'Agly","66069",50000,2012,"Aug",12,4,"Malveillance",NA
"Puget-sur-Argens","83099",254000,2012,"Aug",31,14,"Involontaire","particulier"
"Causses-et-Veyran","34061",230000,2012,"Aug",28,1,"Malveillance",NA
"Calce","66030",50000,2012,"Aug",14,10,"Malveillance",NA
"Tresserre","66214",160000,2012,"Aug",17,13,"Accidentelle",NA
"Angoustrine-Villeneuve-des-Escaldes","66005",630000,2012,"Aug",24,13,"Involontaire","particulier"
"Ille-sur-Têt","66088",50000,2012,"Sep",10,2,"Malveillance",NA
"Villeneuve-de-la-Raho","66227",150000,2012,"Sep",13,20,"Accidentelle",NA
"Trèbes","11397",143800,2012,"Sep",14,13,"Involontaire","particulier"
"Porté-Puymorens","66147",50000,2012,"Jul",18,15,"Naturelle",NA
"Revest-du-Bion","4163",297000,2012,"Jul",18,18,"Involontaire","travaux"
"Puimichel","4156",264000,2012,"Jul",26,15,"Involontaire","travaux"
"Velaux","13112",320000,2012,"Sep",13,17,"Malveillance",NA
"Bruis","5024",400000,2012,"Aug",27,13,"Naturelle",NA
"Saint-Andéol-de-Vals","7210",70000,2012,"Feb",22,17,"Involontaire","particulier"
"Ajaccio","2A004",438000,2012,"Aug",31,16,"Malveillance",NA
"Ajaccio","2A004",50000,2012,"Sep",2,16,"Malveillance",NA
"Prats-de-Mollo-la-Preste","66150",90000,2012,"Nov",13,10,"Involontaire","travaux"
"Sainte-Marguerite-Lafigère","7266",230000,2012,"Feb",23,13,"Involontaire","particulier"
"Escarène (L')","6057",52400,2012,"Feb",20,13,"Involontaire","travaux"
"Plourivo","22233",200000,2013,"May",9,16,"Accidentelle",NA
"Clérac","17110",90000,2013,"Jun",3,13,"Accidentelle",NA
"Tauriac-de-Camarès","12275",120000,2013,"Jul",13,13,"Involontaire","travaux"
"Saint-Préjet-d'Allier","43220",124000,2013,"Sep",4,14,"Involontaire","particulier"
"Barrancoueu","65066",500000,2013,"Apr",14,14,"Involontaire","travaux"
"Caylus","82038",70000,2013,"Apr",17,16,"Accidentelle",NA
"Lapouyade","33230",344800,2013,"Mar",4,15,"Involontaire","travaux"
"Mazeyrolles","24263",220000,2013,"Mar",5,14,"Accidentelle",NA
"Le Soulié","34305",104300,2013,"Apr",25,15,"Involontaire","travaux"
"Belgodère","2B034",60000,2013,"Jun",23,16,"Involontaire","particulier"
"Vignale","2B350",60000,2013,"Jun",29,14,"Malveillance",NA
"Cerbère","66048",300000,2013,"Feb",3,16,"Accidentelle",NA
"Bayons","4023",153000,2013,"Mar",4,0,"Involontaire","travaux"
"Bayons","4023",87000,2013,"Mar",4,0,"Involontaire","travaux"
"Montegrosso","2B167",175800,2013,"Jul",12,11,"Malveillance",NA
"Beaucaire","30032",72745,2013,"Jul",17,13,"Accidentelle",NA
"Oletta","2B185",118300,2013,"Jul",25,11,"Malveillance",NA
"Prades-sur-Vernazobre","34218",58000,2013,"Jul",25,10,"Involontaire","travaux"
"Ghisonaccia","2B123",60000,2013,"Aug",2,15,"Malveillance",NA
"Oletta","2B185",144800,2013,"Aug",4,12,"Malveillance",NA
"Beaucaire","30032",62659,2013,"Jul",23,21,"Malveillance",NA
"Douzens","11122",153000,2013,"Aug",9,16,"Involontaire","particulier"
"Saint-Nazaire","66186",70000,2013,"Aug",10,13,"Malveillance",NA
"Ghisonaccia","2B123",60000,2013,"Aug",20,12,"Malveillance",NA
"Vignale","2B350",557600,2013,"Aug",20,11,"Malveillance",NA
"Patrimonio","2B205",99200,2013,"Aug",25,16,"Involontaire","travaux"
"Valmascle","34323",65200,2013,"Aug",27,18,"Malveillance",NA
"Beauvoisin","30033",146571,2013,"Sep",1,10,"Malveillance",NA
"Magalas","34147",78000,2013,"Sep",1,16,"Involontaire","particulier"
"Valle-di-Rostino","2B337",230500,2013,"Sep",4,14,"Malveillance",NA
"Tautavel","66205",190000,2013,"Aug",24,17,"Malveillance",NA
"Olmeta-di-Capocorso","2B187",50000,2013,"Sep",13,12,"Malveillance",NA
"Linguizzetta","2B143",80000,2013,"Sep",14,18,"Malveillance",NA
"Oletta","2B185",111400,2013,"Sep",17,7,"Malveillance",NA
"Saint-Florent","2B298",50000,2013,"Sep",17,7,"Malveillance",NA
"Oletta","2B185",60000,2013,"Sep",17,11,"Malveillance",NA
"Saint-Pargoire","34281",681500,2013,"Sep",20,5,"Malveillance",NA
"Les Vans","7334",300000,2013,"Sep",19,15,"Involontaire","travaux"
"Beaufort","34026",220000,2013,"Sep",19,18,"Malveillance",NA
"Ponteilla","66145",70000,2013,"Sep",20,3,"Involontaire","particulier"
"Narbonne","11262",916000,2013,"Sep",19,12,"Accidentelle",NA
"Olmeta-di-Tuda","2B188",87000,2013,"Oct",1,11,"Malveillance",NA
"Sorio","2B287",560000,2013,"Oct",4,10,"Malveillance",NA
"Banyuls-sur-Mer","66016",50000,2013,"Oct",9,10,"Involontaire","travaux"
"Montegrosso","2B167",60000,2013,"Oct",11,16,"Involontaire","particulier"
"Perpignan","66136",60000,2013,"Oct",23,14,"Malveillance",NA
"Allauch","13002",114000,2013,"Oct",22,19,"Malveillance",NA
"Calenzana","2B049",384300,2013,"Nov",3,12,"Malveillance",NA
"Olcani","2B184",156900,2013,"Nov",7,17,"Involontaire","travaux"
"Brando","2B043",191200,2013,"Nov",9,20,"Accidentelle",NA
"Ouveillan","11269",51800,2013,"Mar",15,10,"Involontaire","particulier"
"Saint-Thibéry","34289",78400,2013,"Nov",14,14,"Malveillance",NA
"Montesquieu","34168",54000,2013,"Nov",30,7,"Malveillance",NA
"Valdeblore","6153",57500,2013,"Dec",13,14,"Malveillance",NA
"Mouriès","13065",63000,2013,"Dec",6,18,"Accidentelle",NA
"Olmeta-di-Tuda","2B188",70000,2013,"Dec",31,14,"Malveillance",NA
"Tourves","83140",110000,2013,"Apr",13,14,"Involontaire","particulier"
"Thoard","4217",135600,2013,"Mar",4,13,"Involontaire","travaux"
"Fontpédrouse","66080",50000,2013,"Apr",23,11,"Involontaire","travaux"
"Ouzous","65352",150000,2014,"Mar",20,14,"Involontaire","travaux"
"Védrines-Saint-Loup","15251",60000,2014,"Mar",20,17,"Accidentelle",NA
"Paulhenc","15149",60000,2014,"Mar",20,19,"Involontaire","travaux"
"Blois","41018",50000,2014,"Sep",11,19,"Malveillance",NA
"Captieux","33095",270000,2014,"Aug",8,15,"Naturelle",NA
"Captieux","33095",1000000,2014,"Apr",23,16,"Involontaire","particulier"
"Labescau","33212",60000,2014,"Mar",11,12,"Involontaire","particulier"
"Biscarrosse","40046",105000,2014,"Oct",2,14,"Involontaire","travaux"
"Rivière-Saas-et-Gourby","40244",280000,2014,"Jun",28,15,"Involontaire","particulier"
"Lantosque","6074",700300,2014,"Mar",17,10,"Malveillance",NA
"Massoins","6082",172200,2014,"Apr",9,13,"Involontaire","particulier"
"Dourbies","30105",119728,2014,"Apr",7,23,"Malveillance",NA
"La Javie","4097",52000,2014,"Mar",18,14,"Involontaire","travaux"
"Salses-le-Château","66190",200000,2014,"Feb",13,19,"Involontaire","particulier"
"Causses-et-Veyran","34061",105000,2014,"Mar",30,12,"Involontaire","travaux"
"Minerve","34158",60000,2014,"Mar",15,8,"Malveillance",NA
"Cabrières","34045",81600,2014,"Apr",29,12,"Involontaire","particulier"
"Congénies","30091",294471,2014,"May",13,14,"Malveillance",NA
"Montouliers","34170",92000,2014,"Feb",23,14,"Involontaire","particulier"
