"commune","code_INSEE","surface_parcourue_m2","annee","mois","jour","heure","nature_inc_prim","nature_inc_sec"
"Martignas-sur-Jalle","33273",80000,2016,"Sep",8,15,"Accidentelle",NA
"Ogliastro","2B183",60000,2016,"Mar",31,12,"Malveillance",NA
"Sisco","2B281",200000,2016,"Apr",2,18,"Malveillance",NA
"Farinole","2B109",50000,2016,"Apr",1,21,"Malveillance",NA
"Touët-de-l'Escarène","6142",107161,2016,"Mar",26,14,"Involontaire","particulier"
"Cans et Cévennes","48166",104100,2016,"Mar",26,14,"Involontaire","particulier"
"Vialas","48194",151100,2016,"Mar",26,14,"Involontaire","travaux"
"Caumont-sur-Durance","84034",200000,2016,"Mar",23,12,"Malveillance",NA
"Puget-Rostang","6098",60324,2016,"Apr",12,10,"Involontaire","particulier"
"Lantosque","6074",131743,2016,"Apr",12,15,"Malveillance",NA
"Meria","2B159",83700,2016,"Apr",18,19,"Malveillance",NA
"San-Nicolao","2B313",90000,2016,"Apr",18,21,"Malveillance",NA
"Fontès","34103",140300,2016,"Apr",19,13,"Malveillance",NA
"Agel","34004",142600,2016,"May",5,12,"Involontaire","particulier"
"Sablières","7202",200000,2016,"Mar",15,17,"Involontaire","travaux"
"Lantosque","6074",62601,2016,"May",28,22,"Malveillance",NA
"Montblanc","34166",425000,2016,"Jun",27,15,"Involontaire","particulier"
"Laure-Minervois","11198",140300,2016,"Jun",30,17,"Malveillance",NA
"Corte","2B096",248000,2016,"Jun",27,14,"Involontaire","particulier"
"Planèzes","66143",600000,2016,"Jun",21,16,"Involontaire","travaux"
"Calce","66030",50000,2016,"Jun",25,11,"Malveillance",NA
"Calce","66030",200000,2016,"Jul",5,4,"Accidentelle",NA
"Pézilla-la-Rivière","66140",150000,2016,"Jul",5,12,"Accidentelle",NA
"Raissac-sur-Lampy","11308",144520,2016,"Jul",7,12,"Involontaire","travaux"
"Paraza","11273",185068,2016,"Jul",14,21,"Malveillance",NA
"Conques-sur-Orbiel","11099",829689,2016,"Jul",16,16,"Accidentelle",NA
"Hyères","83069",73000,2016,"Jul",14,18,"Involontaire","particulier"
"Garéoult","83064",75000,2016,"Jul",15,16,"Involontaire","particulier"
"Linguizzetta","2B143",80000,2016,"Jul",15,17,"Malveillance",NA
"Châteauneuf-les-Martigues","13026",1000000,2016,"Jul",13,21,"Malveillance",NA
"Martigues","13056",460000,2016,"Jul",15,19,"Malveillance",NA
"Béziers","34032",87000,2016,"Jul",13,12,"Involontaire","particulier"
"Puisserguier","34225",51500,2016,"Jul",19,14,"Accidentelle",NA
"Volpajola","2B355",464200,2016,"Jul",19,21,"Malveillance",NA
"Saint-Laurent-de-la-Salanque","66180",100000,2016,"Jul",13,14,"Involontaire","particulier"
"Estagel","66071",150000,2016,"Jul",16,15,"Malveillance",NA
"Fitou","11144",121304,2016,"Jul",17,19,"Involontaire","particulier"
"Altier","48004",229000,2016,"Apr",20,11,"Involontaire","particulier"
"Narbonne","11262",324079,2016,"Jan",15,22,"Malveillance",NA
"Lunel","34145",51700,2016,"Jun",27,14,"Accidentelle",NA
"Montarnaud","34163",127500,2016,"Jul",10,12,"Involontaire","particulier"
"Thézan-des-Corbières","11390",102861,2016,"Feb",5,16,"Involontaire","travaux"
"Tallone","2B320",51000,2016,"Aug",2,11,"Malveillance",NA
"Maraussan","34148",101700,2016,"Aug",5,14,"Malveillance",NA
"Aléria","2B009",66000,2016,"Aug",6,14,"Malveillance",NA
"Oletta","2B185",97300,2016,"Aug",7,10,"Malveillance",NA
"Maureillas-las-Illas","66106",400000,2016,"Jul",18,12,"Involontaire","particulier"
"Montmirat","30181",52692,2016,"Aug",10,13,"Malveillance",NA
"Laudun-l'Ardoise","30141",102268,2016,"Aug",11,16,"Involontaire","travaux"
"Generville","11162",74533,2016,"Aug",2,16,"Involontaire","travaux"
"Saint-Pons-de-Mauchiens","34285",287500,2016,"Aug",10,16,"Malveillance",NA
"Azille","11022",90908,2016,"Aug",10,20,"Malveillance",NA
"Rivesaltes","66164",500000,2016,"Jul",27,14,"Involontaire","particulier"
"Tautavel","66205",331900,2016,"Aug",1,17,"Malveillance",NA
"Torreilles","66212",150000,2016,"Aug",6,18,"Malveillance",NA
"Argelès-sur-Mer","66008",50000,2016,"Aug",13,15,"Malveillance",NA
"Fontcouverte","11148",211482,2016,"Aug",21,14,"Accidentelle",NA
"Saint-Papoul","11361",52980,2016,"Aug",21,16,"Involontaire","travaux"
"Prunelli-di-Fiumorbo","2B251",399600,2016,"Aug",8,13,"Malveillance",NA
"Aix-en-Provence","13001",414600,2016,"Aug",1,15,"Malveillance",NA
"Calce","66030",90000,2016,"Aug",22,8,"Malveillance",NA
"Martigues","13056",57600,2016,"Aug",1,19,"Malveillance",NA
"Coudoux","13118",50900,2016,"Aug",6,15,"Involontaire","particulier"
"Saint-Martin-de-Crau","13097",166400,2016,"Aug",6,22,"Malveillance",NA
"Erbajolo","2B105",80000,2016,"Aug",24,10,"Malveillance",NA
"Poggio-di-Venaco","2B238",340039,2016,"Aug",24,11,"Malveillance",NA
"Aléria","2B009",88000,2016,"Aug",26,12,"Malveillance",NA
"Corte","2B096",784900,2016,"Aug",22,14,"Malveillance",NA
"Lucciana","2B148",100135,2016,"Aug",25,14,"Malveillance",NA
"Focicchia","2B116",263500,2016,"Aug",25,14,"Malveillance",NA
"Caromb","84030",80000,2016,"Aug",27,16,"Malveillance",NA
"Lucciana","2B148",53500,2016,"Aug",26,11,"Involontaire","particulier"
"Cers","34073",67600,2016,"Sep",5,12,"Accidentelle",NA
"Peyriac-Minervois","11286",263087,2016,"Sep",5,23,"Malveillance",NA
"Villalier","11410",107055,2016,"Sep",7,15,"Involontaire","particulier"
"Calce","66030",80000,2016,"Sep",9,14,"Malveillance",NA
"Saint-Vincent-d'Olargues","34291",230800,2016,"Sep",11,1,"Malveillance",NA
"San-Gavino-d'Ampugnani","2B299",300000,2016,"Jan",11,20,"Involontaire","travaux"
"Castanet-le-Haut","34055",100000,2016,"Sep",23,10,"Involontaire","travaux"
"Castanet-le-Haut","34055",55000,2016,"Sep",24,8,"Involontaire","travaux"
"Cerbère","66048",150000,2016,"Mar",8,13,"Involontaire","travaux"
"Banyuls-sur-Mer","66016",77000,2016,"Sep",24,15,"Involontaire","particulier"
"Lento","2B140",98500,2016,"Sep",28,12,"Malveillance",NA
"Astet","7018",240000,2016,"Sep",24,22,"Malveillance",NA
"Sauto","66192",80000,2016,"Sep",28,14,"Involontaire","particulier"
"Rosis","34235",396200,2016,"Oct",10,13,"Malveillance",NA
"Savines-le-Lac","5164",60000,2016,"Dec",1,11,"Involontaire","particulier"
"Salses-le-Château","66190",535000,2016,"Oct",11,11,"Involontaire","travaux"
"Roquebillière","6103",323050,2016,"Dec",29,13,"Malveillance",NA
"Saint-Paul-sur-Ubaye","4193",81000,2016,"Dec",27,13,"Involontaire","particulier"
"Mandagout","30154",65079,2016,"Mar",24,11,"Involontaire","travaux"
"Milhaud","30169",85420,2016,"Sep",8,11,"Malveillance",NA
"Courmes","6049",72200,2016,"Mar",9,15,"Malveillance",NA
"Saint-Bérain","43171",100000,2017,"Feb",23,15,"Involontaire","particulier"
"Saint-François-Longchamp","73235",74700,2017,"Feb",23,16,"Involontaire","particulier"
"Nant","12168",100000,2017,"Mar",16,13,"Accidentelle",NA
"Prades","43155",50000,2017,"Aug",14,22,"Involontaire","particulier"
"Mazamet","81163",50000,2017,"Aug",29,23,"Malveillance",NA
"Brie","16061",150000,2017,"Jun",24,13,"Involontaire","travaux"
"Parzac","16255",70500,2017,"Jun",18,12,"Involontaire","travaux"
"Autruy-sur-Juine","45015",150000,2017,"Jul",21,13,"Involontaire","travaux"
"Saint-Benoît","97410",50000,2017,"Sep",16,9,"Malveillance",NA
"Verfeil","31573",100000,2017,"Jul",18,17,"Accidentelle",NA
"Boutx","31085",60000,2017,"Jan",7,13,"Involontaire","travaux"
"Gouaux-de-Luchon","31222",120000,2017,"Apr",22,16,"Accidentelle",NA
"Prunet","15156",60000,2017,"Apr",8,16,"Involontaire","travaux"
"Paulhenc","15149",60000,2017,"Apr",16,12,"Involontaire","travaux"
"Mandailles-Saint-Julien","15113",100000,2017,"Apr",24,16,"Involontaire","travaux"
"Saint-Paul","97415",96000,2017,"Nov",3,4,"Malveillance",NA
"Saint-Michel-de-Double","24465",55000,2017,"Apr",21,17,"Involontaire","travaux"
"Luxey","40167",60000,2017,"Feb",21,14,"Involontaire","particulier"
"Aucun","65045",300000,2017,"Mar",17,13,"Involontaire","travaux"
"Espira-de-l'Agly","66069",100000,2017,"Oct",12,12,"Involontaire","travaux"
"Banyuls-sur-Mer","66016",200000,2017,"Nov",6,11,"Accidentelle",NA
"Arbori","2A019",53000,2017,"Apr",1,19,"Malveillance",NA
"Tournefort","6146",151250,2017,"Apr",7,13,"Malveillance",NA
"Bonifacio","2A041",84300,2017,"Sep",13,22,"Accidentelle",NA
"Lucéram","6077",79300,2017,"Jan",6,11,"Involontaire","travaux"
"Mayres","7153",213000,2017,"Mar",21,17,"Malveillance",NA
"Château-Ville-Vieille","5038",233900,2017,"Apr",25,13,"Malveillance",NA
"Treschenu-Creyers","26354",55000,2017,"Apr",24,12,"Involontaire","particulier"
"Lentillères","7141",124800,2017,"Apr",15,20,"Malveillance",NA
"Saint-Laurent-de-Muret","48165",60400,2017,"Feb",26,14,"Involontaire","travaux"
"Bassurels","48020",199000,2017,"Feb",26,15,"Involontaire","travaux"
"Notre-Dame-de-la-Rouvière","30190",239135,2017,"Apr",19,12,"Involontaire","travaux"
"Fos-sur-Mer","13039",53000,2017,"Jun",6,19,"Malveillance",NA
"Roujan","34237",185147,2017,"Jun",11,10,"Involontaire","particulier"
"Lantosque","6074",233030,2017,"Jan",13,17,"Malveillance",NA
"Vence","6157",61220,2017,"Jan",25,14,"Involontaire","travaux"
"Fontès","34103",67435,2017,"Jun",24,22,"Malveillance",NA
"Nissan-lez-Enserune","34183",80000,2017,"Jun",25,12,"Involontaire","particulier"
"Oletta","2B185",75000,2017,"Jun",24,11,"Malveillance",NA
"Fos-sur-Mer","13039",184270,2017,"Jun",24,15,"Malveillance",NA
"Lespignan","34135",80000,2017,"Jun",25,18,"Accidentelle",NA
"Ghisonaccia","2B123",280000,2017,"Jun",28,16,"Malveillance",NA
"Saint-Mitre-les-Remparts","13098",143400,2017,"Jun",30,16,"Malveillance",NA
"Ramatuelle","83101",156400,2017,"Jun",7,13,"Involontaire","travaux"
"Barles","4020",57500,2017,"Feb",16,11,"Involontaire","particulier"
"Pelvoux","5101",100300,2017,"Jan",5,13,"Involontaire","particulier"
"Vence","6157",342850,2017,"Jul",3,17,"Accidentelle",NA
"Pouzolles","34214",93500,2017,"Jul",6,12,"Malveillance",NA
"Puy-Saint-Eusèbe","5108",144800,2017,"Feb",23,15,"Involontaire","particulier"
"Collioure","66053",50000,2017,"Jun",19,18,"Involontaire","particulier"
"Santo-Pietro-di-Tenda","2B314",260000,2017,"Jul",6,15,"Accidentelle",NA
"Bessan","34031",62000,2017,"Jul",11,16,"Malveillance",NA
"Castello-di-Rostino","2B079",75000,2017,"Jul",17,11,"Malveillance",NA
"Speloncato","2B290",62000,2017,"Jul",17,13,"Malveillance",NA
"Volpajola","2B355",200000,2017,"Jul",17,14,"Involontaire","particulier"
"Aspiran","34013",71800,2017,"Jul",13,11,"Involontaire","travaux"
"Reillanne","4160",79300,2017,"Jul",18,14,"Involontaire","travaux"
"Montbel","48100",50000,2017,"Jan",7,15,"Involontaire","travaux"
"Coursegoules","6050",80370,2017,"Feb",21,14,"Malveillance",NA
"Cuttoli-Corticchiato","2A103",130000,2017,"Jun",22,14,"Involontaire","particulier"
"Ota","2A198",50000,2017,"Jul",8,10,"Malveillance",NA
"Tavaco","2A323",210000,2017,"Jul",8,12,"Malveillance",NA
"Venanson","6156",99010,2017,"Feb",26,10,"Involontaire","particulier"
"Pianottoli-Caldarello","2A215",51400,2017,"Jul",16,13,"Accidentelle",NA
"Aléria","2B009",613700,2017,"Jul",24,10,"Malveillance",NA
"Linguizzetta","2B143",382800,2017,"Jul",24,16,"Malveillance",NA
"Peynier","13072",964000,2017,"Jul",26,10,"Involontaire","particulier"
"Castagniers","6034",906980,2017,"Jul",17,14,"Involontaire","particulier"
"Saint-Vallier-de-Thiey","6130",154930,2017,"Jul",24,15,"Malveillance",NA
"Nîmes","30189",103558,2017,"Jul",25,14,"Malveillance",NA
"Villeneuve-lès-Avignon","30351",174628,2017,"Jul",26,14,"Malveillance",NA
"Barles","4020",577600,2017,"Feb",25,13,"Involontaire","particulier"
"Thorame-Basse","4218",84100,2017,"Feb",25,16,"Involontaire","travaux"
"Montblanc","34166",119550,2017,"Jul",24,12,"Malveillance",NA
"Peyrestortes","66138",70000,2017,"Jul",17,14,"Malveillance",NA
"Boulou (Le)","66024",60000,2017,"Jul",18,17,"Involontaire","particulier"
"Istres","13047",58200,2017,"Jul",31,15,"Malveillance",NA
"Grabels","34116",68876,2017,"Jul",28,14,"Malveillance",NA
"Aix-en-Provence","13001",138100,2017,"Aug",1,14,"Involontaire","particulier"
"Istres","13047",725200,2017,"Aug",1,14,"Malveillance",NA
"Ballons","26022",120000,2017,"Jul",17,15,"Involontaire","travaux"
"Propriano","2A249",160000,2017,"Jul",25,10,"Malveillance",NA
"Appietto","2A017",610000,2017,"Aug",2,12,"Malveillance",NA
"Afa","2A001",57635,2017,"Aug",2,13,"Malveillance",NA
"Ajaccio","2A004",50000,2017,"Aug",4,11,"Involontaire","particulier"
"Neffiès","34181",57370,2017,"Aug",5,17,"Involontaire","particulier"
"Osséja","66130",50000,2017,"Feb",16,16,"Involontaire","travaux"
"Amélie-les-Bains-Palalda","66003",50000,2017,"Feb",22,14,"Malveillance",NA
"Saint-Tropez","83119",70000,2017,"Jul",24,21,"Involontaire","particulier"
"Port-de-Bouc","13077",336300,2017,"Aug",10,18,"Malveillance",NA
"Ghisonaccia","2B123",150000,2017,"Mar",7,12,"Malveillance",NA
"Chusclan","30081",194649,2017,"Aug",12,12,"Involontaire","travaux"
"Rigaud","6101",89033,2017,"Aug",3,11,"Involontaire","travaux"
"Saint-Gilles","30258",100000,2017,"Aug",15,16,"Involontaire","travaux"
"Serra-di-Fiumorbo","2B277",50000,2017,"Aug",11,11,"Malveillance",NA
"Saint-Joseph-des-Bancs","7251",96000,2017,"Jan",7,15,"Malveillance",NA
"Ceyras","34076",74920,2017,"Aug",20,19,"Malveillance",NA
"Beaujeu","4024",216100,2017,"Feb",22,15,"Involontaire","travaux"
"Bisinchi","2B039",108333,2017,"Aug",21,12,"Malveillance",NA
"Rougon","4171",135600,2017,"Aug",11,8,"Accidentelle",NA
"Motte-d'Aigues (La)","84084",660000,2017,"Aug",11,17,"Malveillance",NA
"Gordes","84050",180300,2017,"Aug",13,16,"Accidentelle",NA
"Villeveyrac","34341",52321,2017,"Jan",21,23,"Involontaire","travaux"
"Digne-les-Bains","4070",115700,2017,"Aug",23,16,"Malveillance",NA
"Dourbies","30105",100000,2017,"Aug",29,12,"Malveillance",NA
"Fréjus","83061",347000,2017,"Sep",1,16,"Involontaire","particulier"
"Sant'Andréa-di-Bozio","2B292",210500,2017,"Sep",2,12,"Malveillance",NA
"Sant'Andréa-di-Bozio","2B292",255700,2017,"Sep",2,12,"Malveillance",NA
"Linguizzetta","2B143",400000,2017,"Sep",2,16,"Malveillance",NA
"Peypin","13073",108900,2017,"Sep",3,1,"Malveillance",NA
"Faugères","34096",70466,2017,"Sep",2,1,"Malveillance",NA
"Étables","7086",80000,2017,"Aug",26,17,"Involontaire","travaux"
"Donzère","26116",71000,2017,"Sep",6,14,"Involontaire","travaux"
"Vero","2A345",77000,2017,"Aug",17,14,"Malveillance",NA
"Lecci","2A139",110400,2017,"Aug",20,3,"Malveillance",NA
"Neffiès","34181",437143,2017,"Sep",6,18,"Malveillance",NA
"Marseille","13055",55000,2017,"Jul",24,15,"Malveillance",NA
"Coursegoules","6050",54150,2017,"Sep",17,10,"Involontaire","particulier"
"Lunel","34145",193045,2017,"Sep",11,15,"Involontaire","particulier"
"Rosis","34235",447964,2017,"Sep",12,18,"Malveillance",NA
"Castello-di-Rostino","2B079",99100,2017,"Sep",21,15,"Malveillance",NA
"Lucéram","6077",116600,2017,"Sep",20,19,"Naturelle",NA
"San-Gavino-di-Tenda","2B301",80000,2017,"Sep",26,12,"Malveillance",NA
"Trigance","83142",300000,2017,"Oct",8,14,"Accidentelle",NA
"Poujol-sur-Orb (Le)","34211",53170,2017,"Oct",5,14,"Involontaire","travaux"
"Saint-Pargoire","34281",846900,2017,"Oct",6,5,"Malveillance",NA
"Montouliers","34170",523700,2017,"Oct",7,13,"Involontaire","particulier"
"Gilette","6066",125140,2017,"Oct",7,6,"Involontaire","particulier"
"Poussan","34213",100530,2017,"Oct",8,16,"Involontaire","particulier"
"Focicchia","2B116",97000,2017,"Oct",17,15,"Malveillance",NA
"Annot","4008",208400,2017,"Sep",17,12,"Accidentelle",NA
"Peyroules","4148",120000,2017,"Sep",22,13,"Malveillance",NA
"Arzenc-de-Randon","48008",135000,2017,"Mar",16,11,"Involontaire","travaux"
"Val d'Oronaye","4120",767100,2017,"Oct",5,13,"Involontaire","travaux"
"Collias","30085",110000,2017,"Jun",23,16,"Accidentelle",NA
"Laviolle","7139",133000,2017,"Mar",18,14,"Involontaire","travaux"
"Fontvieille","13038",223600,2017,"Oct",24,15,"Involontaire","travaux"
"Bayons","4023",398600,2017,"Mar",17,11,"Involontaire","particulier"
"Noyers-sur-Jabron","4139",152300,2017,"Mar",17,19,"Involontaire","travaux"
"Establet","26123",68000,2017,"Oct",29,13,"Involontaire","particulier"
"Baixas","66014",180000,2017,"Aug",7,13,"Involontaire","travaux"
"Rousses","48130",168600,2017,"Aug",21,14,"Involontaire","particulier"
"Meyrueis","48096",147400,2017,"Aug",5,15,"Malveillance",NA
"Enveitg","66066",60000,2017,"Mar",15,17,"Involontaire","travaux"
"Bages","66011",350000,2017,"Sep",2,12,"Malveillance",NA
"Millas","66108",50000,2017,"Sep",5,14,"Involontaire","travaux"
"Conques-en-Rouergue","12076",120000,2018,"Feb",27,14,"Malveillance",NA
"Cronce","43082",76568,2018,"Apr",21,12,"Accidentelle",NA
"Livernon","46176",70000,2018,"Aug",6,12,"Accidentelle",NA
"Chéniers","23062",300000,2018,"Oct",6,14,"Accidentelle",NA
"Belmont-sur-Rance","12025",50000,2018,"Aug",9,11,"Involontaire","travaux"
"Saint-Izaire","12228",80000,2018,"Jul",9,16,"Involontaire","travaux"
"Rion-des-Landes","40243",78000,2018,"Sep",11,13,"Involontaire","travaux"
"Pujols","47215",80000,2018,"Mar",22,14,"Involontaire","particulier"
"Arcens","7012",50000,2018,"Apr",21,16,"Involontaire","travaux"
"Forcalqueiret","83059",110000,2018,"Apr",27,14,"Involontaire","particulier"
"Poussan","34213",113330,2018,"Jul",10,16,"Involontaire","particulier"
"Béziers","34032",90429,2018,"Jul",11,16,"Involontaire","particulier"
"Salses-le-Château","66190",100000,2018,"Jun",18,1,"Accidentelle",NA
"Campitello","2B055",100000,2018,"Jan",28,12,"Malveillance",NA
"Ghisonaccia","2B123",50000,2018,"Jan",2,15,"Malveillance",NA
"Boisset-et-Gaujac","30042",100023,2018,"Aug",4,17,"Malveillance",NA
"Montbazin","34165",153404,2018,"Aug",5,15,"Malveillance",NA
"Roquebrun","34232",50420,2018,"Aug",4,15,"Involontaire","particulier"
"Bosc (Le)","34036",58132,2018,"Aug",6,14,"Malveillance",NA
"Ghisonaccia","2B123",100700,2018,"Sep",1,13,"Malveillance",NA
"Aléria","2B009",90000,2018,"Sep",1,14,"Malveillance",NA
"Saint-Pargoire","34281",75019,2018,"Sep",14,5,"Malveillance",NA
"Sollacaro","2A284",50000,2018,"Apr",7,17,"Involontaire","particulier"
"Pennes-Mirabeau (Les)","13071",123300,2018,"Sep",23,6,"Accidentelle",NA
"Joncels","34121",257367,2018,"Sep",23,21,"Malveillance",NA
"Quarante","34226",119651,2018,"Sep",24,10,"Involontaire","particulier"
"Pompidou (Le)","48115",134700,2018,"Sep",25,15,"Involontaire","particulier"
"Taglio-Isolaccio","2B318",880000,2018,"Jan",3,21,"Accidentelle",NA
"Montbazin","34165",85968,2018,"Oct",2,21,"Malveillance",NA
"Montbazin","34165",359700,2018,"Oct",4,15,"Accidentelle",NA
"Vias","34332",507900,2018,"Oct",3,14,"Involontaire","travaux"
"Perpignan","66136",60000,2018,"Jul",8,16,"Involontaire","particulier"
"Salses-le-Château","66190",55000,2018,"Jul",11,13,"Involontaire","particulier"
"Villeneuve-la-Rivière","66228",59700,2018,"Jul",20,14,"Malveillance",NA
"Pancheraccia","2B201",70000,2018,"Jan",3,22,"Malveillance",NA
"Saint-Julien-d'Arpaon","48162",80000,2018,"Feb",24,20,"Involontaire","travaux"
"Elne","66065",60000,2018,"Sep",4,16,"Malveillance",NA
"Salses-le-Château","66190",150000,2018,"Sep",24,21,"Involontaire","particulier"
"Saint-Privat","34286",79210,2018,"Feb",25,14,"Involontaire","travaux"
"Pézènes-les-Mines","34200",121077,2018,"Feb",26,20,"Malveillance",NA
"Fontan","6062",90000,2018,"Mar",25,15,"Involontaire","particulier"
"Lantosque","6074",173400,2018,"Apr",19,19,"Malveillance",NA
"Crolles","38140",140000,2019,"Feb",15,13,"Accidentelle",NA
"Vescles","39557",50000,2019,"Feb",25,17,"Malveillance",NA
"Saint-Claude","39478",200000,2019,"Mar",27,14,"Involontaire","travaux"
"Lect","39289",75000,2019,"Mar",27,14,"Involontaire","travaux"
"Aurec-sur-Loire","43012",117175,2019,"Mar",30,17,"Involontaire","travaux"
"Auxey-Duresses","21037",95448,2019,"Apr",15,13,"Involontaire","travaux"
"Sireix","65428",1000000,2019,"Jan",4,8,"Involontaire","travaux"
"Arrens-Marsous","65032",100000,2019,"Mar",16,21,"Involontaire","travaux"
"Vouthon-Bas","55574",300000,2019,"Jul",22,17,"Involontaire","travaux"
"Mutigney","39377",110000,2019,"Jul",17,11,"Involontaire","travaux"
"Villeferry","21694",74900,2019,"Jul",25,11,"Involontaire","particulier"
"Griselles","21309",160000,2019,"Jul",17,13,"Involontaire","travaux"
"Foulain","52205",600000,2019,"Jul",25,15,"Involontaire","travaux"
"Grézillé","49154",90000,2019,"Aug",4,14,"Involontaire","particulier"
"Longué-Jumelles","49180",70000,2019,"Aug",14,12,"Involontaire","travaux"
"Cossaye","58087",86647,2019,"Jul",30,19,"Malveillance",NA
"Mauzac","31334",300000,2019,"Jul",19,13,"Involontaire","travaux"
"Revel","31451",50000,2019,"Aug",26,21,"Involontaire","particulier"
"Arfons","81016",120000,2019,"Sep",15,5,"Malveillance",NA
"La Courtine","23067",100000,2019,"Sep",16,16,"Accidentelle",NA
"La Courtine","23067",50000,2019,"Sep",21,14,"Accidentelle",NA
"Saint-Agnan","58226",97104,2019,"Sep",20,14,"Accidentelle",NA
"Druelle Balsac","12090",90000,2019,"Jul",12,15,"Involontaire","travaux"
"Loubigné","79153",200000,2019,"Jul",7,19,"Involontaire","travaux"
"Pirou","50403",400000,2019,"Mar",27,13,"Malveillance",NA
"La Chapelaude","3055",740000,2019,"Aug",31,13,"Accidentelle",NA
"Halsou","64255",100000,2019,"Mar",3,15,"Involontaire","particulier"
"Issor","64276",80000,2019,"Mar",3,14,"Involontaire","particulier"
"Bidarray","64124",950000,2019,"Mar",3,10,"Involontaire","particulier"
"Sare","64504",200000,2019,"Feb",16,18,"Involontaire","particulier"
"Saint-Étienne-de-Baïgorry","64477",190000,2019,"Feb",27,11,"Involontaire","travaux"
"Licq-Athérey","64342",100000,2019,"Feb",22,14,"Involontaire","travaux"
"Estérençuby","64218",50000,2019,"Feb",17,7,"Involontaire","travaux"
"Estérençuby","64218",50005,2019,"Feb",16,12,"Involontaire","travaux"
"Lacarry-Arhan-Charritte-de-Haut","64298",60000,2019,"Mar",3,17,"Malveillance",NA
"La Force","24222",60000,2019,"Apr",15,7,"Accidentelle",NA
"Jumilhac-le-Grand","24218",50000,2019,"Mar",24,16,"Accidentelle",NA
"Salles","33498",320000,2019,"Aug",4,14,"Naturelle",NA
"Salles","33498",50000,2019,"Aug",2,16,"Naturelle",NA
"Louchats","33251",150000,2019,"Apr",15,16,"Involontaire","travaux"
"Montesquieu","47186",50000,2019,"Jul",14,15,"Malveillance",NA
"Panossas","38294",79000,2019,"Jul",16,16,"Involontaire","travaux"
"Bénonces","1037",100000,2019,"Feb",28,16,"Involontaire","travaux"
"La Ville-aux-Clercs","41275",190000,2019,"Jul",4,15,"Involontaire","travaux"
"La Chapelle-Vicomtesse","41041",600000,2019,"Jul",17,16,"Involontaire","travaux"
"Sougé","41250",82000,2019,"Jul",22,15,"Involontaire","travaux"
"Couëtron-au-Perche","41248",80300,2019,"Jul",22,16,"Involontaire","travaux"
"Fontaine-Raoul","41088",201000,2019,"Jul",25,16,"Involontaire","travaux"
"Entrages","4074",99000,2019,"Mar",12,14,"Involontaire","travaux"
"Prévenchères","48119",72300,2019,"Mar",17,11,"Involontaire","travaux"
"Belvédère","6013",50000,2019,"Mar",26,0,"Malveillance",NA
"Darbres","7077",50000,2019,"Mar",24,10,"Involontaire","travaux"
"Aigues-Vives","34007",256785,2019,"Mar",29,11,"Involontaire","travaux"
"Rosis","34235",78396,2019,"Mar",29,14,"Malveillance",NA
"Tourrettes-sur-Loup","6148",734000,2019,"Jan",27,11,"Malveillance",NA
"Hyères","83069",116000,2019,"Jun",14,14,"Malveillance",NA
"Sartène","2A272",73800,2019,"Jun",14,10,"Accidentelle",NA
"Aghione","2B002",165000,2019,"Jun",25,10,"Malveillance",NA
"Dio-et-Valquières","34093",124100,2019,"Jun",29,12,"Malveillance",NA
"Calvi","2B050",150000,2019,"Jul",8,11,"Involontaire","particulier"
"Vitrolles","13117",80000,2019,"Jul",10,18,"Accidentelle",NA
"Vitrolles","13117",50000,2019,"Jul",10,18,"Accidentelle",NA
"Ampus","83003",380000,2019,"Jul",2,11,"Naturelle",NA
"Montferrat","83082",50000,2019,"Jul",5,15,"Involontaire","travaux"
"Céreste","4045",79700,2019,"Jul",13,16,"Malveillance",NA
"Villeveyrac","34341",55253,2019,"Jul",15,19,"Malveillance",NA
"Toulon","83137",100000,2019,"Jul",18,13,"Malveillance",NA
"Fabrègues","34095",622900,2019,"Jul",18,16,"Involontaire","particulier"
"Allemagne-en-Provence","4004",527700,2019,"Jul",25,13,"Involontaire","travaux"
"Loupian","34143",121109,2019,"Jul",26,17,"Involontaire","particulier"
"Poussan","34213",171261,2019,"Jul",30,21,"Malveillance",NA
"Fraissinet-de-Fourques","48065",139500,2019,"Feb",27,14,"Involontaire","travaux"
"Vialas","48194",114270,2019,"Jul",31,14,"Involontaire","travaux"
"Saint-Mandrier-sur-Mer","83153",175200,2019,"Jul",29,12,"Malveillance",NA
"Assignan","34015",122869,2019,"Aug",2,16,"Involontaire","travaux"
"Saint-Jean-de-la-Blaquière","34268",149615,2019,"Aug",8,11,"Malveillance",NA
"Rabouillet","66156",670000,2019,"Mar",6,12,"Involontaire","travaux"
"Lunel","34145",52989,2019,"Aug",2,16,"Involontaire","particulier"
"Marcoux","4113",287800,2019,"Aug",10,12,"Involontaire","particulier"
"Cavaillon","84035",130300,2019,"Jul",23,15,"Malveillance",NA
"Castello-di-Rostino","2B079",120000,2019,"Aug",14,11,"Malveillance",NA
"Castelnau-de-Guers","34056",85000,2019,"Aug",12,17,"Involontaire","travaux"
"La Roche-des-Arnauds","5123",70400,2019,"Aug",14,5,"Naturelle",NA
"Montblanc","34166",206119,2019,"Aug",3,15,"Involontaire","travaux"
"Conqueyrac","30093",74723,2019,"Aug",31,16,"Naturelle",NA
"Roquebrune-sur-Argens","83107",50000,2019,"Aug",19,14,"Involontaire","particulier"
