"code_INSEE","latitude","longitude","altitude_med"
"2B110",42.2886,9.2519,350
"11097",42.9786,2.195,222
"66004",42.5797,2.049,2017
"66021",42.7271,2.9426,7
"2B112",42.5515,8.9415,450
"11396",43.3202,2.5675,125
"11069",43.2078,2.3491,128
"4070",44.0954,6.2495,595
"34038",43.7011,3.1495,249
"48070",44.7748,3.64,1260
"13067",43.7844,5.0294,250
"13001",43.536,5.3879,215
"11262",43.1493,3.0336,13
"34186",43.6588,3.2936,184
"11285",43.0899,2.9547,13
"34032",43.3481,3.2342,50
"7038",44.6115,4.0444,1230
"48148",44.1736,3.8492,518
"66137",42.4664,2.8639,295
"34165",43.5325,3.6694,34
"66141",42.7506,2.9172,42
"66069",42.7987,2.8231,42
"83099",43.4712,6.6861,7
"34061",43.4656,3.0897,140
"66030",42.7477,2.7545,182
"66214",42.5559,2.842,148
"66005",42.546,1.9443,1600
"66227",42.6402,2.909,13
"11397",43.209,2.4653,136
"66147",42.5546,1.8381,1975
"4163",44.1024,5.5439,804
"4156",43.9803,6.0245,473
"13112",43.5215,5.246,198
"5024",44.4627,5.5309,786
"7210",44.6976,4.4015,600
"2A004",41.9228,8.7058,86
"66150",42.4174,2.4229,725
"7266",44.4866,3.9975,803
"6057",43.8303,7.3665,340
"22233",48.7388,-3.0965,78
"17110",45.1734,-0.2376,66
"12275",43.7764,3.0307,435
"43220",44.9181,3.6199,593
"65066",42.91,0.3249,767
"82038",44.2475,1.767,220
"33230",45.1094,-0.2854,66
"24263",44.6721,0.996,189
"34305",43.5397,2.6862,930
"2B034",42.6085,9.0196,844
"2B350",42.539,9.3997,70
"66048",42.4471,3.1493,72
"4023",44.3233,6.1832,886
"2B167",42.5445,8.8542,450
"30032",43.7815,4.5912,18
"34218",43.459,2.9747,130
"2B123",42.0454,9.4192,61
"11122",43.1757,2.6096,130
"66186",42.6619,2.9895,13
"2B205",42.7092,9.3647,300
"34323",43.5999,3.3003,200
"30033",43.6896,4.3222,24
"34147",43.4778,3.2216,93
"2B337",42.46,9.2592,198
"66205",42.8163,2.7161,182
"2B187",42.7643,9.379,140
"2B143",42.2144,9.5015,78
"2B298",42.6889,9.2797,300
"34281",43.5268,3.5416,38
"7334",44.3884,4.1145,275
"34026",43.3032,2.7705,86
"66145",42.6347,2.8288,80
"2B188",42.6095,9.3612,54
"2B287",42.5781,9.2449,480
"66136",42.699,2.9045,42
"13002",43.3522,5.5103,143
"2B184",42.8074,9.3861,140
"2B043",42.7771,9.4527,111
"11269",43.2926,2.9687,31
"34289",43.3931,3.3939,40
"34168",43.5637,3.2708,122
"6153",44.1152,7.1949,1058
"13065",43.7053,4.8781,12
"83140",43.4108,5.9281,300
"4217",44.1495,6.1258,1070
"66080",42.4718,2.202,1330
"65352",43.0359,-0.1042,446
"15251",45.0518,3.2672,1134
"15149",44.8808,2.814,930
"41018",47.5813,1.3049,73
"33095",44.2621,-0.2981,96
"33212",44.4511,-0.0812,114
"40046",44.4077,-1.1523,35
"40244",43.6963,-1.1756,26
"6074",43.9787,7.3121,485
"6082",43.9552,7.1305,630
"30105",44.0664,3.4956,1107
"4097",44.197,6.3183,920
"66190",42.8359,2.9134,7
"34158",43.3624,2.7166,372
"34045",43.5779,3.3473,200
"30091",43.7752,4.1583,41
"34170",43.3356,2.9068,31
"11296",43.2858,2.8158,80
"2B030",42.8732,9.3611,354
"2B183",42.8216,9.3566,140
"11351",43.0851,2.7156,185
"2B314",42.6677,9.1995,480
"34025",43.4093,3.2563,50
"2A272",41.5752,8.9326,62
"2A048",42.0305,8.7307,317
"2B037",42.6133,9.4402,37
"34302",43.3298,2.6641,131
"7322",44.6727,4.2107,420
"2B170",42.9363,9.3742,190
"2B316",42.6038,8.9332,296
"34113",43.4953,3.7242,34
"7003",44.719,4.3335,428
"34123",43.6173,3.7908,100
"2A269",41.8163,9.3396,397
"2B283",41.8789,9.3181,397
"34116",43.6503,3.7894,100
"34074",43.4533,3.0363,97
"11260",42.9631,2.5315,538
"34313",43.5718,3.487,46
"66108",42.6966,2.6865,103
"34226",43.353,2.9881,130
"2A254",41.7948,9.2156,1212
"34225",43.379,3.056,83
"6132",43.9935,7.5403,425
"6013",44.0615,7.3612,625
"48172",44.3167,3.8333,1000
"34190",43.2897,2.7791,86
"12094",44.6604,2.5853,239
"12226",44.7319,2.5769,239
"39086",46.4097,5.6447,320
"81004",43.929,2.1323,321
"79280",47.0343,-0.5281,128
"73019",45.4939,6.3341,419
"54305",48.7516,6.1924,213
"54490",48.7891,6.0386,213
"79168",47.0167,-0.35,128
"45092",47.9679,2.6232,99
"35152",48.2025,-1.5064,53
"3004",46.248,3.74,450
"73211",45.7091,6.4657,500
"97417",-21.3084,55.7436,91
"45032",48.1473,2.9319,107
"3006",46.1468,3.7388,823
"3217",46.3558,2.6957,275
"33300",45.2596,-1.0643,14
"33422",44.7973,-0.8156,60
"33238",44.7236,-0.6172,65
"33229",44.7719,-0.9799,7
"33104",45.0033,-0.8162,20
"40332",44.3545,-0.9643,66
"40167",44.2382,-0.5061,89
"40149",44.1482,-0.3856,127
"41043",47.2895,1.4812,92
"41130",47.7429,1.3572,126
"41186",47.8737,1.0613,115
"41087",47.7976,0.8316,73
"42326",45.3724,4.634,1370
"11170",43.1042,3.0871,0
"2B320",42.1897,9.4697,78
"34319",43.558,3.2958,122
"2B201",42.1891,9.4093,685
"7323",44.9009,4.7942,112
"11315",43.2667,2.5906,125
"11386",43.0204,2.6654,320
"11009",43.2646,2.1665,134
"7258",45.1676,4.4897,1090
"84129",44.016,4.8555,20
"11259",43.2847,2.2343,280
"2B059",42.4987,9.2341,240
"26318",44.4243,5.3272,556
"34103",43.5414,3.3881,40
"34003",43.3084,3.4839,2
"34019",43.7513,3.1107,435
"34181",43.5381,3.3363,122
"2B095",42.3627,9.0453,1063
"2B290",42.5757,8.9731,844
"2B361",42.5181,8.8989,450
"34237",43.5119,3.3082,73
"30231",44.15,3.6998,450
"48122",44.3667,3.5333,618
"48074",44.2479,3.3851,1054
"34242",43.7762,3.9434,160
"83061",43.4553,6.7848,18
"66076",42.7613,2.4877,515
"66215",42.7091,2.5105,251
"66058",42.7098,2.7247,103
"84147",43.7066,5.4266,70
"13005",43.2904,5.5643,105
"2A038",41.6222,8.9048,5
"34020",43.3263,2.7475,86
"2B341",42.2129,9.1455,630
"66008",42.53,3.0232,5
"11198",43.2678,2.5144,125
"11022",43.2763,2.6581,131
"66127",42.8817,2.8601,120
"2B355",42.5237,9.3699,70
"11016",43.1061,2.4938,240
"66014",42.744,2.8079,42
"30009",43.974,3.4466,800
"11018",43.1968,2.2082,130
"6162",44.0897,7.6496,792
"11276",42.8552,2.7135,182
"7112",44.7514,4.2994,952
"2A031",41.9781,9.0553,661
"48116",44.3684,3.7777,1000
"4194",43.9114,6.922,860
"6103",44.0282,7.2885,625
"7286",44.8242,4.4845,640
"6023",43.9379,7.4996,320
"26113",44.7515,5.3878,396
"12163",43.7606,2.7767,811
"12082",43.9307,3.2848,729
"12076",44.5817,2.3895,320
"46183",44.5486,1.78,281
"18219",47.2434,2.1855,155
"81066",43.5416,2.3141,198
"58081",47.346,3.2441,216
"17038",45.1799,-0.3109,66
"17074",45.1928,-0.3774,96
"47234",44.2149,0.7544,140
"33273",44.8451,-0.8006,60
"2B281",42.8152,9.4389,354
"2B109",42.7306,9.363,300
"6142",43.8516,7.3799,843
"48166",44.2834,3.6443,903
"48194",44.3466,3.893,610
"84034",43.8813,4.955,54
