"Code.INSEE","RR_med","NBJRR1_med","NBJRR5_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med"
"4018",65.25,6,4,2,6.5,16.75,9.4,2.5,NA,NA
"2A117",68.6,7,4,2,10.7,20.4,10,3.2,NA,NA
"2B046",40.2,4,2,1,13.5,18.95,12.55,4.3,4212,14636
"13044",38.15,4,2,1,8.3,19.3,10.8,3.7,NA,NA
"30041",47.95,5,3,2,8.3,19.1,10.75,1.7,4324.5,14620
"30145",53.1,5,3,2,8.35,18.6,11.1,3.1,4324.5,14620
"48145",86.6,11,6,3,1.9,8.4,7.3,7,3506.5,12843
"48049",60.25,8,4,2,7.85,20.2,9.2,3.2,3506.5,12843
"48040",67.05,8,4,2,3.3,12.4,8.5,3.3,NA,NA
"34118",73.4,7,3,2,8,19.8,10.9,2.2,4380,14835.5
"26146",66.5,6,3,2,8.4,19,10.9,3.3,4188,15087
"26295",61,8,3,2,6.65,17.7,11.5,1.2,3039,12156
"2B354",96.7,6,4,3,5.45,16.7,9.25,4.4,4232,15515
"2B029",63.55,4.5,2,2,10.65,17,12.3,2.3,4212,14636
"2B352",39.3,5,3,1,8.75,19,12.6,4.7,4352.5,15088.5
"30319",49.2,6,3,2,8.3,19.1,10.75,1.7,4150,14931.5
"66041",31.7,3,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"34295",44,5,2,1,10.95,19.9,12,2.6,4690,15794
"7040",63.1,7,3,2,7.55,14.5,9.4,3.1,3090.5,12678
"48146",72,8,4,2,7.1,18.5,8.2,2.7,3282,11861.5
"4179",66,6,4,2,3,17.5,8.7,1.2,4490,16015
"34221",43.5,5,3,1,8.2,19.7,10.95,2.2,NA,NA
"34230",68.45,7,4,2,5.7,15.7,9.9,7.3,NA,NA
"34162",39.45,4,2,1,9.9,20.1,11.4,3,4120,14757
"66193",43.2,6,2,1,7.4,18.15,9.2,1.3,3137,12269.5
"7330",60.9,6,3,2,7.7,19.2,10.8,2.8,3968,13651
"7134",74.1,5,3,2,6.8,18.2,10.1,2.4,3968,13651
"83076",46.7,4,2,1,6.8,19.5,10.05,2,NA,NA
"34318",55.9,5,2,2,8,20.7,10.1,2.2,NA,NA
"4086",48.85,6,3,2,0.6,15.4,7,1.3,4194,15022.5
"4209",62.25,6.5,4,2,5.05,19.05,9.1,1.8,4433,13701
"48028",65.95,7,4,2,5.6,14.35,8.8,4.2,3282,11861.5
"34087",42.7,4,2,1,9.1,19.3,11.9,4.8,4104,14498
"34209",27.95,4,2,1,10.3,19.9,11.8,4,4120,14757
"6002",70.8,7,4,2,5,12.85,7.3,3,NA,NA
"2A099",117,9,5,3,8.4,16.5,9.4,2.3,4020,14625
"7085",66.5,7,4,2,7.55,14.5,9.4,3.1,3090.5,12678
"7129",66.5,7,4,2,7.55,14.5,9.4,3.1,3090.5,12678
"30295",51.1,5,3,2,8.3,19.1,10.75,1.7,4150,14931.5
"13019",38.2,4,2,1,6.8,19.4,10.8,2.4,4650,15336
"7161",94.55,8,4,3,7.2,16.4,9.7,1.7,3275,12558
"7028",61.25,6,3,2,10,19.8,10.5,2.4,NA,NA
"48050",65.95,7,4,2,5.6,14.35,8.8,4.2,3282,11861.5
"11095",41.35,6,3,1,9.9,19.4,11.7,4.9,3965,14346.5
"6104",53,5,3,2,6.9,13.4,8.7,3.8,NA,NA
"66046",51.3,7,3,2,9.7,19.4,10.8,4.6,3389,14179
"26367",60.5,7,4,2,8.6,20,10.5,2.3,4106,14618
"11132",37.5,5,2,1,10.3,19.6,11.8,5.6,3965,14346.5
"84091",41.5,4,2,1,9.85,20.1,11.1,4.8,4164,14547
"30337",51.1,5,3,2,8.35,18.6,11.1,3.1,4150,14931.5
"4090",67.2,7,4,2,4.8,16.8,8.1,1.4,NA,NA
"4061",74.35,8,4,3,0.5,13.7,6.5,1.1,NA,NA
"2A024",79.9,8,5,3,7.6,17.3,9.45,2.2,NA,NA
"7226",68.75,9,4,2,3.9,11.5,8.1,4.3,3206,12438
"7200",112.6,10,5,4,2.4,10.8,7.9,3.6,3275,12558
"50041",84.85,12,6,3,9.3,13.6,11.4,7.2,2246.5,9693.5
